Time,Close,Open,High,Low,,
Feb 97,"3,265.97","3,490.65","3,516.79","3,262.00",-,-6.89%
Jan 97,"3,507.79","3,591.15","3,788.29","3,507.79",-,-1.47%
Dec 96,"3,560.13","3,525.77","3,771.50","3,470.55",-,0.96%
Nov 96,"3,526.12","3,237.07","3,541.17","3,214.59",-,8.32%
Oct 96,"3,255.23","3,249.35","3,392.59","3,247.27",-,-0.25%
Sep 96,"3,263.30","3,194.55","3,277.24","3,162.61",-,3.55%
Aug 96,"3,151.53","3,117.91","3,235.86","3,090.96",-,3.22%
Jul 96,"3,053.21","3,221.77","3,302.15","3,018.90",-,-4.73%
Jun 96,"3,204.88","3,081.23","3,204.88","3,030.04",-,3.88%
May 96,"3,085.18","3,120.01","3,203.61","3,085.18",-,-0.79%
Apr 96,"3,109.74","2,977.99","3,200.03","2,977.99",-,5.77%
Mar 96,"2,940.00","2,730.23","2,973.40","2,721.95",-,6.50%
Feb 96,"2,760.56","2,629.19","2,781.13","2,557.38",-,4.01%
Jan 96,"2,654.16","2,711.25","2,731.59","2,474.60",-,-0.16%
Dec 95,"2,658.46","2,434.88","2,700.74","2,434.88",-,10.23%
Nov 95,"2,411.80","2,354.01","2,432.25","2,354.01",-,2.70%
Oct 95,"2,348.40","2,348.56","2,348.56","2,290.21",-,1.01%
Sep 95,"2,325.00","2,329.00","2,364.72","2,310.63",-,0.42%
Aug 95,"2,315.22","2,244.52","2,315.22","2,234.12",-,2.12%
Jul 95,"2,267.16","2,207.16","2,267.16","2,177.78",-,2.61%
Jun 95,"2,209.46","2,265.89","2,282.62","2,209.46",-,-1.78%
May 95,"2,249.60","2,287.43","2,308.65","2,225.27",-,-0.84%
Apr 95,"2,268.75","2,203.51","2,274.50","2,203.51",-,3.06%
Mar 95,"2,201.35","2,161.24","2,208.49","2,137.64",-,1.36%
Feb 95,"2,171.77","2,156.45","2,185.54","2,135.49",-,0.81%
Jan 95,"2,154.37","2,185.21","2,190.15","2,122.68",-,-2.48%
Dec 94,"2,209.27","2,125.15","2,209.27","2,085.50",-,3.39%
Nov 94,"2,136.92","2,227.61","2,231.52","2,133.19",-,-3.27%
Oct 94,"2,209.26","2,197.77","2,223.22","2,142.89",-,0.45%
Sep 94,"2,199.35","2,221.48","2,243.30","2,168.06",-,-0.94%
Aug 94,"2,220.25","2,400.69","2,400.69","2,195.21",-,-6.74%
Jul 94,"2,380.70","2,347.06","2,380.70","2,285.06",-,1.72%
Jun 94,"2,340.41","2,268.91","2,392.49","2,241.54",-,2.46%
May 94,"2,284.22","2,248.14","2,291.02","2,228.11",-,1.49%
Apr 94,"2,250.73","2,246.15","2,276.10","2,212.61",-,2.62%
Mar 94,"2,193.29","2,219.35","2,221.58","2,156.84",-,-1.19%
Feb 94,"2,219.72","2,313.99","2,327.01","2,202.97",-,-2.17%
Jan 94,"2,269.05","2,111.22","2,269.05","2,111.22",-,8.14%
Dec 93,"2,098.21","2,146.37","2,146.37","2,081.17",-,-1.88%
Nov 93,"2,138.44","2,273.75","2,273.75","2,138.44",-,-5.02%
Oct 93,"2,251.36","2,335.13","2,358.59","2,251.36",-,-3.59%
Sep 93,"2,335.26","2,309.97","2,335.26","2,252.77",-,0.25%
Aug 93,"2,329.33","2,321.41","2,356.29","2,298.25",-,0.82%
Jul 93,"2,310.31","2,323.78","2,351.04","2,263.04",-,-0.86%
Jun 93,"2,330.46","2,408.45","2,408.45","2,311.59",-,-3.13%
May 93,"2,405.75","2,480.07","2,480.07","2,405.75",-,-2.78%
Apr 93,"2,474.61","2,506.16","2,509.57","2,445.40",-,-1.07%
Mar 93,"2,501.49","2,448.40","2,501.49","2,447.23",-,2.08%
Feb 93,"2,450.42","2,423.48","2,450.42","2,380.18",-,1.16%
Jan 93,"2,422.28","2,371.27","2,428.36","2,345.46",-,1.21%
Dec 92,"2,393.26","2,363.56","2,419.53","2,326.74",-,0.23%
Nov 92,"2,387.88","2,439.95","2,439.95","2,387.88",-,-1.28%
Oct 92,"2,418.81","2,486.35","2,526.74","2,415.19",-,-2.20%
Sep 92,"2,473.19","2,455.59","2,497.41","2,455.59",-,1.15%
Aug 92,"2,445.16","2,430.56","2,452.06","2,395.32",-,0.10%
Jul 92,"2,442.60","2,481.54","2,492.35","2,429.24",-,-1.39%
Jun 92,"2,477.12","2,491.86","2,537.92","2,477.12",-,-0.55%
May 92,"2,490.85","2,432.89","2,490.85","2,387.32",-,2.69%
Apr 92,"2,425.68","2,377.86","2,425.68","2,364.19",-,3.00%
Mar 92,"2,355.11","2,307.34","2,359.51","2,307.34",-,1.12%
Feb 92,"2,329.08","2,363.26","2,439.02","2,304.09",-,-1.10%
Jan 92,"2,354.91","2,304.20","2,373.32","2,236.06",-,2.75%
Dec 91,"2,291.90","2,441.28","2,441.28","2,259.40",-,-7.08%
Nov 91,"2,466.49","2,592.30","2,600.17","2,450.05",-,-4.04%
Oct 91,"2,570.31","2,499.19","2,608.42","2,499.19",-,2.87%
Sep 91,"2,498.64","2,474.39","2,510.03","2,441.95",-,0.79%
Aug 91,"2,479.07","2,428.00","2,479.07","2,404.39",-,1.54%
Jul 91,"2,441.43","2,332.25","2,441.43","2,326.30",-,5.11%
Jun 91,"2,322.83","2,383.26","2,383.26","2,298.48",-,-2.37%
May 91,"2,379.17","2,400.09","2,431.05","2,376.29",-,-0.05%
Apr 91,"2,380.39","2,314.28","2,422.57","2,314.28",-,2.27%
Mar 91,"2,327.67","2,256.48","2,362.69","2,256.48",-,3.76%
Feb 91,"2,243.23","2,198.44","2,280.50","2,148.27",-,1.39%
